country,index,region
Albania,1.43,Other countries
Algeria,0.92,Other countries
Angola,0.92,Other countries
Antigua and Barbuda,0.77,Caribbean
Argentina,1.54,Latin America
Armenia,1.44,Other countries
Australia,1.84,OECD
Austria,1.79,OECD
Azerbaijan,1.3,Other countries
Bahamas,0.72,Caribbean
Bahrain,1.28,Other countries
Bangladesh,1.06,Other countries
Barbados,0.74,Caribbean
Belarus,0.69,Other countries
Belgium,1.8,OECD
Belize,0.54,Caribbean
Benin,0.99,Other countries
Bhutan,0.66,Other countries
Bolivia,0.92,Latin America
Bosnia and Herzegovina,1.24,Other countries
Botswana,1.18,Other countries
Brazil,1.58,Latin America
Brunei Darussalam,1.38,Other countries
Bulgaria,1.69,Other countries
Burkina Faso,0.64,Other countries
Burundi,0.53,Other countries
Cambodia,1.24,Other countries
Cameroon,1.02,Other countries
Canada,1.8,OECD
Central African Rep.,0.63,Other countries
Chad,0.43,Other countries
Chile,1.62,Latin America
China,1.61,Other countries
Chinese Taipei,1.61,Other countries
Colombia,1.64,Latin America
Comoros,0.44,Other countries
Congo,0.85,Other countries
Costa Rica,1.63,Latin America
Croatia,1.79,Other countries
Cuba,1.09,Caribbean
Cyprus,1.79,Other countries
Czech Republic,1.71,OECD
Ivory Coast,0.81,Other countries
Democratic Republic of the Congo (DRC),0.6,Other countries
Denmark,1.82,OECD
Djibouti,0.38,Other countries
Dominica,0.95,Caribbean
Dominican Rep.,1.36,Caribbean
Ecuador,1.22,Latin America
Egypt,1.2,Other countries
El Salvador,1.41,Latin America
Estonia,1.82,OECD
Esuatini,0.85,Other countries
Ethiopia,0.78,Other countries
Fiji,1.09,Other countries
Finland,1.83,OECD
France,1.81,OECD
Gabon,0.58,Other countries
Gambia,0.77,Other countries
Georgia,1.61,Other countries
Germany,1.78,OECD
Ghana,0.94,Other countries
Greece,1.67,OECD
Guatemala,1.31,Latin America
Honduras,1.08,Latin America
"Hong Kong, China",1.88,Other countries
Hungary,1.62,OECD
Iceland,1.66,OECD
India,1.55,Other countries
Indonesia,1.42,Other countries
Ireland,1.79,OECD
Israel,1.6,OECD
Italy,1.72,OECD
Jamaica,0.89,Caribbean
Japan,1.86,OECD
Jordan,1.01,Other countries
Kazakhstan,1.28,Other countries
Kenya,1.34,Other countries
Kiribati,0.46,Other countries
Korea,1.88,OECD
Kuwait,1.01,Other countries
Kyrgyzstan,1.05,Other countries
Laos,0.91,Other countries
Latvia,1.73,OECD
Lebanon,0.92,Other countries
Lesotho,0.84,Other countries
Liberia,0.69,Other countries
Lithuania,1.77,OECD
Luxembourg,1.82,OECD
Madagascar,1.0,Other countries
Malawi,0.9,Other countries
Malaysia,1.56,Other countries
Maldives,0.92,Other countries
Mali,0.92,Other countries
Malta,1.69,Other countries
Mauricio,1.66,Other countries
Mexico,1.66,Latin America
Micronesia,0.46,Other countries
Moldova,1.11,Other countries
Mongolia,1.19,Other countries
Montenegro,1.35,Other countries
Morocco,1.59,Other countries
Mozambique,0.9,Other countries
Myanmar,1.09,Other countries
Namibia,0.96,Other countries
Nepal,0.7,Other countries
Netherlands,1.87,OECD
New Zealand,1.81,OECD
Nicaragua,1.32,Latin America
Niger,0.72,Other countries
Nigeria,0.93,Other countries
North Macedonia,1.39,Other countries
Norway,1.86,OECD
Oman,1.71,Other countries
Pakistan,1.35,Other countries
Palau,0.55,Other countries
Panama,1.56,Latin America
Papua New Guinea,1.08,Other countries
Paraguay,1.21,Latin America
Peru,1.57,Latin America
Philippines,1.37,Other countries
Poland,1.8,OECD
Portugal,1.83,OECD
Qatar,1.43,Other countries
Romania,1.62,Other countries
Russia,1.69,Other countries
Rwanda,1.01,Other countries
Samoa,0.87,Other countries
Saudi Arabia,1.37,Other countries
Senegal,1.21,Other countries
Serbia,1.35,Other countries
Sierra Leone,0.53,Other countries
Singapore,1.85,Other countries
Slovak Rep.,1.69,OECD
Slovenia,1.77,OECD
Solomon Islands,0.63,Other countries
South Africa,1.63,Other countries
Spain,1.81,OECD
Sri Lanka,1.07,Other countries
Sudan,0.54,Other countries
Suriname,0.46,Caribbean
Sweden,1.85,OECD
Switzerland,1.8,OECD
Tajikistan,1.04,Other countries
Tanzania,0.96,Other countries
Thailand,1.51,Other countries
Togo,0.82,Other countries
Tonga,0.81,Other countries
Trinidad and Tobago,1.14,Caribbean
Tunisia,1.26,Other countries
Turkey,1.63,OECD
Uganda,0.95,Other countries
Ukraine,1.08,Other countries
United Arab Emirates,1.48,Other countries
United Kingdom,1.82,OECD
USA,1.85,OECD
Uruguay,1.54,Latin America
Uzbekistan,0.85,Other countries
Vanuatu,1.23,Other countries
Venezuela,0.71,Latin America
Vietnam,1.47,Other countries
Yemen,0.31,Other countries
Zambia,0.85,Other countries
Zimbabwe,0.91,Other countries
