region,country,percentage
Latin America,Argentina,41.98113251
Latin America,Belize,36.320755
Latin America,Bolivia,31.60377312
Latin America,Brazil,30.6603775
Latin America,Chile,69.3396225
Latin America,Colombia,53.77358627
Latin America,Costa Rica,55.6603775
Latin America,Ecuador,40.09434128
Latin America,El Salvador,38.679245
Latin America,Guatemala,16.50943375
Latin America,Guyana,43.39622498
Latin America,Honduras,19.3396225
Latin America,Mexico,42.45283127
Latin America,Nicaragua,13.679245
Latin America,Panama,47.64151001
Latin America,Paraguay,29.71698189
Latin America,Peru,35.37735748
Latin America,Suriname,15.09433937
Latin America,Uruguay,77.35848999
Caribbean,Antigua and Barbuda,46.22641373
Caribbean,Bahamas,65.09433746
Caribbean,Barbados,65.56604004
Caribbean,Cuba,37.26415253
Caribbean,Dominica,49.05660248
Caribbean,Dominican Rep.,50
Caribbean,Grenada,54.71697998
Caribbean,Haiti,0.9433962107
Caribbean,Jamaica,71.69811249
Caribbean,St. Kitts and Nevis,64.62264252
Caribbean,St. Lucia,49.05660248
Caribbean,Saint Vincent and the Grenadines,62.73584747
Caribbean,Trinidad and Tobago,52.35848999
OECD,Australia,92.92453003
OECD,Austria,91.50943756
OECD,Belgium,84.90566254
OECD,Canada,94.3396225
OECD,Czech Rep.,81.13207245
OECD,Denmark,98.58490753
OECD,Estonia,89.62264252
OECD,Finland,96.69811249
OECD,France,83.01886749
OECD,Germany,88.20755005
OECD,Greece,66.50943756
OECD,Hungary,68.86792755
OECD,Iceland,93.86792755
OECD,Ireland,93.39622498
OECD,Israel,85.37735748
OECD,Italy,66.98113251
OECD,Japan,96.22641754
OECD,Korea,90.09433746
OECD,Latvia,75
OECD,Lithuania,79.71697998
OECD,Luxembourg,97.64151001
OECD,Netherlands,95.28302002
OECD,New Zealand,89.15093994
OECD,Norway,98.11320496
OECD,Poland,61.79245377
OECD,Portugal,80.18868256
OECD,Slovak Rep.,63.679245
OECD,Slovenia,80.6603775
OECD,Spain,77.83018494
OECD,Sweden,94.81131744
OECD,Switzerland,99.52830505
OECD,Turkey,43.86792374
OECD,United Kingdom,85.84906006
OECD,USA,86.79244995
Latin America,Average Latin America,38.8778551
Caribbean,Average Caribbean,51.48766287
OECD,OECD average,84.47558302
