region,country,percentage
Latin America,Argentina,34.90565872
Latin America,Belize,24.52830124
Latin America,Bolivia,9.433961868
Latin America,Brazil,43.39622498
Latin America,Chile,72.64151001
Latin America,Colombia,38.679245
Latin America,Costa Rica,64.62264252
Latin America,Ecuador,26.88679314
Latin America,El Salvador,24.05660439
Latin America,Guatemala,13.20754719
Latin America,Guyana,41.03773499
Latin America,Honduras,16.98113251
Latin America,Mexico,20.75471687
Latin America,Nicaragua,8.962264061
Latin America,Panama,40.09434128
Latin America,Paraguay,30.18867874
Latin America,Peru,32.54716873
Latin America,Suriname,48.11320877
Latin America,Uruguay,75.94339752
Caribbean,Antigua and Barbuda,61.79245377
Caribbean,Bahamas,55.6603775
Caribbean,Barbados,60.37735748
Caribbean,Cuba,36.320755
Caribbean,Dominica,75.47169495
Caribbean,Dominican Rep.,50.47169876
Caribbean,Grenada,67.92453003
Caribbean,Haiti,7.547169685
Caribbean,Jamaica,51.88679123
Caribbean,St. Kitts and Nevis,66.98113251
Caribbean,St. Lucia,71.22641754
Caribbean,Saint Vincent and the Grenadines,70.75471497
Caribbean,Trinidad and Tobago,46.69811249
OECD,Australia,91.03773499
OECD,Austria,95.75471497
OECD,Belgium,88.20755005
OECD,Canada,92.92453003
OECD,Czech Rep.,83.49056244
OECD,Denmark,99.52830505
OECD,Estonia,89.62264252
OECD,Finland,100
OECD,France,85.37735748
OECD,Germany,91.98113251
OECD,Greece,59.90565872
OECD,Hungary,63.20754623
OECD,Iceland,95.28302002
OECD,Ireland,91.50943756
OECD,Israel,81.13207245
OECD,Italy,58.49056625
OECD,Japan,92.45282745
OECD,Korea,84.90566254
OECD,Latvia,79.71697998
OECD,Lithuania,83.01886749
OECD,Luxembourg,98.58490753
OECD,Netherlands,93.39622498
OECD,New Zealand,96.69811249
OECD,Norway,98.11320496
OECD,Poland,64.15093994
OECD,Portugal,83.96226501
OECD,Slovak Rep.,70.28302002
OECD,Slovenia,82.54717255
OECD,Spain,77.35848999
OECD,Sweden,93.86792755
OECD,Switzerland,97.64151001
OECD,Turkey,36.79245377
OECD,United Kingdom,89.15093994
OECD,USA,88.679245
Caribbean,Average Caribbean,55.62409276
OECD,OECD average,84.66981125
Latin America,Average Latin America,35.10427013
