country,AG,EMG,MCIP,services
Antigua y Barbuda,1.81233,0.07942,0.42449,97.68377
Argentina,41.46961,18.18310,17.19610,23.15119
Bahamas,0.57299,4.51715,7.51555,87.39431
Barbados,9.38074,3.88485,11.81451,74.91990
Belice,23.17580,2.32326,7.34788,67.15306
Bolivia,15.60464,66.63367,7.85342,9.90827
Brasil,39.65628,26.71314,21.88851,11.74207
Chile,23.17808,31.95572,35.59406,9.27214
Colombia,10.96502,49.87762,15.80928,23.34809
Costa Rica,19.54091,1.47096,32.28504,46.70309
Cuba,6.38710,4.07017,3.96653,85.57621
Dominica,2.04847,0.77589,5.42784,91.74780
Rep. Dominicana,11.46646,7.45058,30.62097,50.46199
Ecuador,43.97759,41.84740,5.61669,8.55832
El Salvador,12.90790,2.29971,40.77605,44.01634
Granada,3.94934,0.11824,1.24547,94.68696
Guatemala,35.25795,8.37222,33.12865,23.24118
Guyana,2.61924,93.07427,2.20132,2.10517
Haití,3.10396,2.33384,81.13270,13.42951
Honduras,32.91679,8.17534,34.28621,24.62166
Jamaica,8.03334,18.77966,1.73875,71.44825
México,7.72490,7.38133,76.19630,8.69747
Nicaragua,33.31923,14.49635,34.17764,18.00678
Panamá,7.23444,29.62886,9.12260,54.01409
Paraguay,54.39132,16.93812,11.55155,17.11902
Perú,22.72235,51.68065,16.22738,9.36962
San Cristóbal y Nieves,0.50512,0.05648,3.49991,95.93849
Santa Lucía,1.65569,2.29354,1.73780,94.31297
San Vicente,2.44489,0.06716,10.03179,87.45616
Surinam,32.34949,56.72491,3.69793,7.22767
Trinidad y Tobago,3.04774,30.43780,54.96006,11.55439
Uruguay,45.90980,2.31611,11.45668,40.31740
Venezuela,1.27591,80.99548,10.28543,7.44319
ALyC,21.42290,20.71043,42.31122,15.55546
América Latina,22.03382,21.13691,43.12498,13.70429
Caribe,7.33970,10.87906,23.55203,58.22921
