country,year,region,cleanEnergy
Antigua y Barbuda,2000,Caribe,0
Antigua y Barbuda,2005,Caribe,0
Antigua y Barbuda,2010,Caribe,0.000007629394531
Antigua y Barbuda,2015,Caribe,2.857139587
Antigua y Barbuda,2022,Caribe,5.555557251
Argentina,2000,América Latina,39.09867859
Argentina,2005,América Latina,38.92198563
Argentina,2010,América Latina,32.22222137
Argentina,2015,América Latina,27.49277687
Argentina,2022,América Latina,32.12889099
Australia,2000,OCDE,7.678826809
Australia,2005,OCDE,7.302592754
Australia,2010,OCDE,7.857514858
Australia,2015,OCDE,12.64617157
Australia,2022,OCDE,32.02705002
Austria,2000,OCDE,70.27162933
Austria,2005,OCDE,59.73279572
Austria,2010,OCDE,59.73164368
Austria,2015,OCDE,69.50469208
Austria,2022,OCDE,70.75485992
Bahamas,2000,Caribe,0
Bahamas,2005,Caribe,0
Bahamas,2010,Caribe,0
Bahamas,2015,Caribe,0
Bahamas,2022,Caribe,0
Barbados,2000,Caribe,0
Barbados,2005,Caribe,0
Barbados,2010,Caribe,0
Barbados,2015,Caribe,0.9615325928
Barbados,2022,Caribe,7.339447021
Bélgica,2000,OCDE,58.75106049
Bélgica,2005,OCDE,57.02772903
Bélgica,2010,OCDE,53.86517715
Bélgica,2015,OCDE,51.22022629
Bélgica,2022,OCDE,67.12343597
Belice,2000,América Latina,69.2307663
Belice,2005,América Latina,43.75
Belice,2010,América Latina,61.90476227
Belice,2015,América Latina,66.66666412
Belice,2022,América Latina,29.03225327
Bolivia,2000,América Latina,50.25773239
Bolivia,2005,América Latina,39.67280197
Bolivia,2010,América Latina,32.48120499
Bolivia,2015,América Latina,27.22222137
Bolivia,2022,América Latina,31.62467384
Brasil,2000,América Latina,88.97200012
Brasil,2005,América Latina,86.18850708
Brasil,2010,América Latina,81.42497253
Brasil,2015,América Latina,68.16007233
Brasil,2022,América Latina,81.72689056
Canadá,2000,OCDE,71.10231018
Canadá,2005,OCDE,73.31990814
Canadá,2010,OCDE,74.19731903
Canadá,2015,OCDE,77.62297821
Canadá,2022,OCDE,80.13643646
Chile,2000,América Latina,47.50642776
Chile,2005,América Latina,50.21730423
Chile,2010,América Latina,36.98935699
Chile,2015,América Latina,38.16027832
Chile,2022,América Latina,52.95602036
Colombia,2000,América Latina,74.18827057
Colombia,2005,América Latina,79.01482391
Colombia,2010,América Latina,66.49510193
Colombia,2015,América Latina,61.58778763
Colombia,2022,América Latina,69.38152313
Costa Rica,2000,América Latina,98.83382416
Costa Rica,2005,América Latina,95.84859467
Costa Rica,2010,América Latina,91.79810333
Costa Rica,2015,América Latina,97.3073349
Costa Rica,2022,América Latina,98.47634125
Cuba,2000,Caribe,0.5988001823
Cuba,2005,Caribe,0.456028223
Cuba,2010,Caribe,0.6321854591
Cuba,2015,Caribe,0.9808695316
Cuba,2022,Caribe,2.247806787
Chequia,2000,OCDE,21.05624008
Chequia,2005,OCDE,33.11363602
Chequia,2010,OCDE,37.2565155
Chequia,2015,OCDE,38.13795471
Chequia,2022,OCDE,43.45593643
Dinamarca,2000,OCDE,11.91073608
Dinamarca,2005,OCDE,18.37583542
Dinamarca,2010,OCDE,20.23226166
Dinamarca,2015,OCDE,51.25086975
Dinamarca,2022,OCDE,60.59043121
Dominica,2000,Caribe,37.5
Dominica,2005,Caribe,25
Dominica,2010,Caribe,14.2857132
Dominica,2015,Caribe,13.33333588
Dominica,2022,Caribe,23.52941132
Rep. Dominicana,2000,Caribe,5.764798164
Rep. Dominicana,2005,Caribe,14.31783867
Rep. Dominicana,2010,Caribe,9.675237656
Rep. Dominicana,2015,Caribe,6.944440842
Rep. Dominicana,2022,Caribe,13.37047672
Ecuador,2000,América Latina,71.50997162
Ecuador,2005,América Latina,53.87658691
Ecuador,2010,América Latina,44.02677536
Ecuador,2015,América Latina,50.75494003
Ecuador,2022,América Latina,79.63246155
El Salvador,2000,América Latina,52.56064606
El Salvador,2005,América Latina,56.34095764
El Salvador,2010,América Latina,60.30150604
El Salvador,2015,América Latina,49.17763138
El Salvador,2022,América Latina,76.69290924
Estonia,2000,OCDE,-0.0000008717179298
Estonia,2005,OCDE,0.6862733364
Estonia,2010,OCDE,2.390137672
Estonia,2015,OCDE,7.290635109
Estonia,2022,OCDE,14.04494476
Finlandia,2000,OCDE,53.1942215
Finlandia,2005,OCDE,52.74943542
Finlandia,2010,OCDE,44.65525436
Finlandia,2015,OCDE,61.74026489
Finlandia,2022,OCDE,70.87797546
Francia,2000,OCDE,90.22645569
Francia,2005,OCDE,88.4000473
Francia,2010,OCDE,89.04616547
Francia,2015,OCDE,91.05223846
