country,code,fvaShare,regionalFvaTotalFva,exportedVa
Argentina,ARG,0.181972504,0.369332503,76582242.39
Barbados,BRB,0.259596105,0.111794642,628474.1385
Bolivia,BOL,0.086138936,0.386109024,9438444.575
Brasil,BRA,0.144839226,0.156629014,253080364
Chile,CHL,0.217544334,0.320036289,71453492.39
Colombia,COL,0.104657401,0.193067866,26149788.95
Costa Rica,CRI,0.149650531,0.27360916,11163787.77
Rep. Dominicana,Dominica,0.113781646,0.162316735,6887598.271
Ecuador,ECU,0.091865639,0.412743071,19711807.82
El Salvador,SLV,0.278968411,0.444267195,3435164.335
Honduras,HND,0.204619781,0.367892585,3345669.074
México,MEX,0.342255412,0.044000052,402785982.6
Nicaragua,NIC,0.20617657,0.410060152,1177805.75
Panamá,PAN,0.134247656,0.353336986,6794162.373
Paraguay,PRY,0.105151814,0.420506902,5342976.689
Perú,PER,0.118316496,0.276162257,18182749.16
Trinidad y Tobago,Trinidad y Tobago,0.141073886,0.123100027,21467480.96
Uruguay,URY,0.192691315,0.466357458,5633323.518
Venezuela,VEN,0.100477525,0.126984657,40616094.66
Guatemala,GTM,0.087535793,0.390103753,6778921.249
