region,country,percentage
América Latina,Argentina,41.98113251
América Latina,Belice,36.320755
América Latina,Bolivia,31.60377312
América Latina,Brasil,30.6603775
América Latina,Chile,69.3396225
América Latina,Colombia,53.77358627
América Latina,Costa Rica,55.6603775
América Latina,Ecuador,40.09434128
América Latina,El Salvador,38.679245
América Latina,Guatemala,16.50943375
América Latina,Guyana,43.39622498
América Latina,Honduras,19.3396225
América Latina,México,42.45283127
América Latina,Nicaragua,13.679245
América Latina,Panamá,47.64151001
América Latina,Paraguay,29.71698189
América Latina,Perú,35.37735748
América Latina,Surinam,15.09433937
América Latina,Uruguay,77.35848999
Caribe,Antigua y Barbuda,46.22641373
Caribe,Bahamas,65.09433746
Caribe,Barbados,65.56604004
Caribe,Cuba,37.26415253
Caribe,Dominica,49.05660248
Caribe,Rep. Dominicana,50
Caribe,Granada,54.71697998
Caribe,Haití,0.9433962107
Caribe,Jamaica,71.69811249
Caribe,San Cristóbal y Nieves,64.62264252
Caribe,Santa Lucía,49.05660248
Caribe,San Vicente y las Granadinas,62.73584747
Caribe,Trinidad y Tobago,52.35848999
OCDE,Australia,92.92453003
OCDE,Austria,91.50943756
OCDE,Bélgica,84.90566254
OCDE,Canadá,94.3396225
OCDE,República Checa,81.13207245
OCDE,Dinamarca,98.58490753
OCDE,Estonia,89.62264252
OCDE,Finlandia,96.69811249
OCDE,Francia,83.01886749
OCDE,Alemania,88.20755005
OCDE,Grecia,66.50943756
OCDE,Hungría,68.86792755
OCDE,Islandia,93.86792755
OCDE,Irlanda,93.39622498
OCDE,Israel,85.37735748
OCDE,Italia,66.98113251
OCDE,Japón,96.22641754
OCDE,Corea,90.09433746
OCDE,Letonia,75
OCDE,Lituania,79.71697998
OCDE,Luxemburgo,97.64151001
OCDE,Países Bajos,95.28302002
OCDE,Nueva Zelanda,89.15093994
OCDE,Noruega,98.11320496
OCDE,Polonia,61.79245377
OCDE,Portugal,80.18868256
OCDE,República Eslovaca,63.679245
OCDE,Eslovenia,80.6603775
OCDE,España,77.83018494
OCDE,Suecia,94.81131744
OCDE,Suiza,99.52830505
OCDE,Turquía,43.86792374
OCDE,Reino Unido,85.84906006
OCDE,EE. UU.,86.79244995
América Latina,Promedio América Latina,38.8778551
Caribe,Promedio Caribe,51.48766287
OCDE,Promedio OCDE,84.47558302
