region,country,percentage
América Latina,Argentina,34.90565872
América Latina,Belice,24.52830124
América Latina,Bolivia,9.433961868
América Latina,Brasil,43.39622498
América Latina,Chile,72.64151001
América Latina,Colombia,38.679245
América Latina,Costa Rica,64.62264252
América Latina,Ecuador,26.88679314
América Latina,El Salvador,24.05660439
América Latina,Guatemala,13.20754719
América Latina,Guyana,41.03773499
América Latina,Honduras,16.98113251
América Latina,México,20.75471687
América Latina,Nicaragua,8.962264061
América Latina,Panamá,40.09434128
América Latina,Paraguay,30.18867874
América Latina,Perú,32.54716873
América Latina,Surinam,48.11320877
América Latina,Uruguay,75.94339752
Caribe,Antigua y Barbuda,61.79245377
Caribe,Bahamas,55.6603775
Caribe,Barbados,60.37735748
Caribe,Cuba,36.320755
Caribe,Dominica,75.47169495
Caribe,Rep. Dominicana,50.47169876
Caribe,Granada,67.92453003
Caribe,Haití,7.547169685
Caribe,Jamaica,51.88679123
Caribe,San Cristóbal y Nieves,66.98113251
Caribe,Santa Lucía,71.22641754
Caribe,San Vicente y las Granadinas,70.75471497
Caribe,Trinidad y Tobago,46.69811249
OCDE,Australia,91.03773499
OCDE,Austria,95.75471497
OCDE,Bélgica,88.20755005
OCDE,Canadá,92.92453003
OCDE,República Checa,83.49056244
OCDE,Dinamarca,99.52830505
OCDE,Estonia,89.62264252
OCDE,Finlandia,100
OCDE,Francia,85.37735748
OCDE,Alemania,91.98113251
OCDE,Grecia,59.90565872
OCDE,Hungría,63.20754623
OCDE,Islandia,95.28302002
OCDE,Irlanda,91.50943756
OCDE,Israel,81.13207245
OCDE,Italia,58.49056625
OCDE,Japón,92.45282745
OCDE,Corea,84.90566254
OCDE,Letonia,79.71697998
OCDE,Lituania,83.01886749
OCDE,Luxemburgo,98.58490753
OCDE,Países Bajos,93.39622498
OCDE,Nueva Zelanda,96.69811249
OCDE,Noruega,98.11320496
OCDE,Polonia,64.15093994
OCDE,Portugal,83.96226501
OCDE,República Eslovaca,70.28302002
OCDE,Eslovenia,82.54717255
OCDE,España,77.35848999
OCDE,Suecia,93.86792755
OCDE,Suiza,97.64151001
OCDE,Turquía,36.79245377
OCDE,Reino Unido,89.15093994
OCDE,EE. UU.,88.679245
Caribe,Promedio Caribe,55.62409276
OCDE,Promedio OCDE,84.66981125
América Latina,Promedio América Latina,35.10427013
