region,country,percentage
América Latina,Argentina,25.94339561
América Latina,Belice,35.84905624
América Latina,Bolivia,10.37735844
América Latina,Brasil,43.86792374
América Latina,Chile,81.13207245
América Latina,Colombia,56.60377502
América Latina,Costa Rica,71.22641754
América Latina,Ecuador,35.37735748
América Latina,El Salvador,34.90565872
América Latina,Guatemala,41.50943375
América Latina,Guyana,32.54716873
América Latina,Honduras,33.49056625
América Latina,México,46.69811249
América Latina,Nicaragua,18.39622688
América Latina,Panamá,55.18867874
América Latina,Paraguay,45.28302002
América Latina,Perú,59.90565872
América Latina,Surinam,21.22641563
América Latina,Uruguay,74.05660248
Caribe,Antigua y Barbuda,61.320755
Caribe,Bahamas,47.16981125
Caribe,Barbados,67.92453003
Caribe,Cuba,7.075471878
Caribe,Dominica,62.73584747
Caribe,Rep. Dominicana,54.24528122
Caribe,Granada,64.15093994
Caribe,Haití,8.490566254
Caribe,Jamaica,58.96226501
Caribe,San Cristóbal y Nieves,71.69811249
Caribe,Santa Lucía,66.03773499
Caribe,San Vicente y las Granadinas,63.20754623
Caribe,Trinidad y Tobago,50
OCDE,Australia,99.52830505
OCDE,Austria,87.26415253
OCDE,Bélgica,86.79244995
OCDE,Canadá,95.75471497
OCDE,República Checa,88.679245
OCDE,Dinamarca,98.58490753
OCDE,Estonia,92.92453003
OCDE,Finlandia,97.16981506
OCDE,Francia,85.37735748
OCDE,Alemania,92.45282745
OCDE,Grecia,67.45282745
OCDE,Hungría,64.62264252
OCDE,Islandia,88.20755005
OCDE,Irlanda,95.28302002
OCDE,Israel,86.320755
OCDE,Italia,68.86792755
OCDE,Japón,91.50943756
OCDE,Corea,83.96226501
OCDE,Letonia,84.90566254
OCDE,Lituania,87.73584747
OCDE,Luxemburgo,98.11320496
OCDE,Países Bajos,96.69811249
OCDE,Nueva Zelanda,99.05660248
OCDE,Noruega,91.98113251
OCDE,Polonia,74.52830505
OCDE,Portugal,75
OCDE,República Eslovaca,76.88679504
OCDE,Eslovenia,73.58490753
OCDE,España,75.94339752
OCDE,Suecia,96.22641754
OCDE,Suiza,94.3396225
OCDE,Turquía,43.39622498
OCDE,Reino Unido,93.39622498
OCDE,EE. UU.,91.03773499
Caribe,Promedio Caribe,52.53991244
OCDE,Promedio OCDE,85.98779185
América Latina,Promedio América Latina,43.34657363
