country,year,region,cleanEnergy
Antígua e Barbuda,2000,Caribe,0
Antígua e Barbuda,2005,Caribe,0
Antígua e Barbuda,2010,Caribe,0.000007629394531
Antígua e Barbuda,2015,Caribe,2.857139587
Antígua e Barbuda,2022,Caribe,5.555557251
Argentina,2000,América Latina,39.09867859
Argentina,2005,América Latina,38.92198563
Argentina,2010,América Latina,32.22222137
Argentina,2015,América Latina,27.49277687
Argentina,2022,América Latina,32.12889099
Austrália,2000,OCDE,7.678826809
Austrália,2005,OCDE,7.302592754
Austrália,2010,OCDE,7.857514858
Austrália,2015,OCDE,12.64617157
Austrália,2022,OCDE,32.02705002
Áustria,2000,OCDE,70.27162933
Áustria,2005,OCDE,59.73279572
Áustria,2010,OCDE,59.73164368
Áustria,2015,OCDE,69.50469208
Áustria,2022,OCDE,70.75485992
Bahamas,2000,Caribe,0
Bahamas,2005,Caribe,0
Bahamas,2010,Caribe,0
Bahamas,2015,Caribe,0
Bahamas,2022,Caribe,0
Barbados,2000,Caribe,0
Barbados,2005,Caribe,0
Barbados,2010,Caribe,0
Barbados,2015,Caribe,0.9615325928
Barbados,2022,Caribe,7.339447021
Bélgica,2000,OCDE,58.75106049
Bélgica,2005,OCDE,57.02772903
Bélgica,2010,OCDE,53.86517715
Bélgica,2015,OCDE,51.22022629
Bélgica,2022,OCDE,67.12343597
Belize,2000,América Latina,69.2307663
Belize,2005,América Latina,43.75
Belize,2010,América Latina,61.90476227
Belize,2015,América Latina,66.66666412
Belize,2022,América Latina,29.03225327
Bolívia,2000,América Latina,50.25773239
Bolívia,2005,América Latina,39.67280197
Bolívia,2010,América Latina,32.48120499
Bolívia,2015,América Latina,27.22222137
Bolívia,2022,América Latina,31.62467384
Brasil,2000,América Latina,88.97200012
Brasil,2005,América Latina,86.18850708
Brasil,2010,América Latina,81.42497253
Brasil,2015,América Latina,68.16007233
Brasil,2022,América Latina,81.72689056
Canadá,2000,OCDE,71.10231018
Canadá,2005,OCDE,73.31990814
Canadá,2010,OCDE,74.19731903
Canadá,2015,OCDE,77.62297821
Canadá,2022,OCDE,80.13643646
Chile,2000,América Latina,47.50642776
Chile,2005,América Latina,50.21730423
Chile,2010,América Latina,36.98935699
Chile,2015,América Latina,38.16027832
Chile,2022,América Latina,52.95602036
Colômbia,2000,América Latina,74.18827057
Colômbia,2005,América Latina,79.01482391
Colômbia,2010,América Latina,66.49510193
Colômbia,2015,América Latina,61.58778763
Colômbia,2022,América Latina,69.38152313
Costa Rica,2000,América Latina,98.83382416
Costa Rica,2005,América Latina,95.84859467
Costa Rica,2010,América Latina,91.79810333
Costa Rica,2015,América Latina,97.3073349
Costa Rica,2022,América Latina,98.47634125
Cuba,2000,Caribe,0.5988001823
Cuba,2005,Caribe,0.456028223
Cuba,2010,Caribe,0.6321854591
Cuba,2015,Caribe,0.9808695316
Cuba,2022,Caribe,2.247806787
República Tcheca,2000,OCDE,21.05624008
República Tcheca,2005,OCDE,33.11363602
República Tcheca,2010,OCDE,37.2565155
República Tcheca,2015,OCDE,38.13795471
República Tcheca,2022,OCDE,43.45593643
Dinamarca,2000,OCDE,11.91073608
Dinamarca,2005,OCDE,18.37583542
Dinamarca,2010,OCDE,20.23226166
Dinamarca,2015,OCDE,51.25086975
Dinamarca,2022,OCDE,60.59043121
Dominica,2000,Caribe,37.5
Dominica,2005,Caribe,25
Dominica,2010,Caribe,14.2857132
Dominica,2015,Caribe,13.33333588
Dominica,2022,Caribe,23.52941132
Rep. Dominicana,2000,Caribe,5.764798164
Rep. Dominicana,2005,Caribe,14.31783867
Rep. Dominicana,2010,Caribe,9.675237656
Rep. Dominicana,2015,Caribe,6.944440842
Rep. Dominicana,2022,Caribe,13.37047672
Equador,2000,América Latina,71.50997162
Equador,2005,América Latina,53.87658691
Equador,2010,América Latina,44.02677536
Equador,2015,América Latina,50.75494003
Equador,2022,América Latina,79.63246155
El Salvador,2000,América Latina,52.56064606
El Salvador,2005,América Latina,56.34095764
El Salvador,2010,América Latina,60.30150604
El Salvador,2015,América Latina,49.17763138
El Salvador,2022,América Latina,76.69290924
Estônia,2000,OCDE,-0.0000008717179298
Estônia,2005,OCDE,0.6862733364
Estônia,2010,OCDE,2.390137672
Estônia,2015,OCDE,7.290635109
Estônia,2022,OCDE,14.04494476
Finlândia,2000,OCDE,53.1942215
Finlândia,2005,OCDE,52.74943542
Finlândia,2010,OCDE,44.65525436
Finlândia,2015,OCDE,61.74026489
Finlândia,2022,OCDE,70.87797546
França,2000,OCDE,90.22645569
França,2005,OCDE,88.4000473
França,2010,OCDE,89.04616547
França,2015,OCDE,91.05223846
França,2022,OCDE,85.02184296
Alemanha,2000,OCDE,35.27375031
Alemanha,2005,OCDE,34.52733994
Alemanha,2010,OCDE,33.97093964
Alemanha,2015,OCDE,35.92158127
Alemanha,2022,OCDE,41.94054031
Grécia,2000,OCDE,7.820167542
Grécia,2005,OCDE,10.71002769
Grécia,2010,OCDE,18.26532173
Grécia,2015,OCDE,28.63858795
Grécia,2022,OCDE,42.37551117
Granada,2000,Caribe,0
Granada,2005,Caribe,0
Granada,2010,Caribe,0
Granada,2015,Caribe,0
Granada,2022,Caribe,4
Guatemala,2000,América Latina,41.79566193
Guatemala,2005,América Latina,44.17265701
Guatemala,2010,América Latina,46.04072571
Guatemala,2015,América Latina,39.39122772
Guatemala,2022,América Latina,45.516716
Guiana,2000,América Latina,-0.000004291534424
Guiana,2005,América Latina,-0.000001788139343
Guiana,2010,América Latina,0.000004053115845
Guiana,2015,América Latina,0
Guiana,2022,América Latina,0.8771939278
Haiti,2000,Caribe,51.85185242
Haiti,2005,Caribe,47.27272797
Haiti,2010,Caribe,25
Haiti,2015,Caribe,7.766990662
Haiti,2022,Caribe,13.46153259
Honduras,2000,América Latina,61.53845978
Honduras,2005,América Latina,30.74141121
Honduras,2010,América Latina,42.36111069
Honduras,2015,América Latina,36.60619354
Honduras,2022,América Latina,52.62281418
Hungria,2000,OCDE,40.80704498
Hungria,2005,OCDE,39.27272797
Hungria,2010,OCDE,44.11135101
Hungria,2015,OCDE,55.68743896
Hungria,2022,OCDE,59.64764786
Islândia,2000,OCDE,100
Islândia,2005,OCDE,100
Islândia,2010,OCDE,100
Islândia,2015,OCDE,100
Islândia,2022,OCDE,100
Irã,2000,OCDE,4.614740372
Irã,2005,OCDE,6.802192211
Irã,2010,OCDE,12.1309166
Irã,2015,OCDE,26.31954765
Irã,2022,OCDE,35.82489395
Israel,2000,OCDE,0.07032012939
Israel,2005,OCDE,0.08229064941
Israel,2010,OCDE,0.1878677309
Israel,2015,OCDE,1.790438414
Israel,2022,OCDE,9.945991516
Itália,2000,OCDE,18.32999611
Itália,2005,OCDE,14.85252953
Itália,2010,OCDE,22.76573563
Itália,2015,OCDE,31.9985733
Itália,2022,OCDE,29.51850128
Jamaica,2000,Caribe,1.624815464
Jamaica,2005,Caribe,2.677374363
Jamaica,2010,Caribe,4.629633904
Jamaica,2015,Caribe,6.308417797
Jamaica,2022,Caribe,12.20043945
Japão,2000,OCDE,36.74193192
Japão,2005,OCDE,32.44728851
Japão,2010,OCDE,33.6294632
Japão,2015,OCDE,12.62474442
Japão,2022,OCDE,22.95196533
Letônia,2000,OCDE,68.11593628
Letônia,2005,OCDE,68.6991806
Letônia,2010,OCDE,53.84615707
Letônia,2015,OCDE,36.28158569
Letônia,2022,OCDE,59.71943665
Lituânia,2000,OCDE,78.70619965
Lituânia,2005,OCDE,74.82662964
Lituânia,2010,OCDE,15.19999695
Lituânia,2015,OCDE,29.07801437
Lituânia,2022,OCDE,58.00971222
Luxemburgo,2000,OCDE,35
Luxemburgo,2005,OCDE,4.776116371
Luxemburgo,2010,OCDE,5.864192486
Luxemburgo,2015,OCDE,22.38806152
Luxemburgo,2022,OCDE,55.08473969
México,2000,América Latina,20.292696
México,2005,América Latina,15.5422039
México,2010,América Latina,16.07881355
México,2015,América Latina,16.56839371
México,2022,América Latina,25.28985596
Países Baixos,2000,OCDE,5.575740814
Países Baixos,2005,OCDE,6.292498112
Países Baixos,2010,OCDE,6.875528336
Países Baixos,2015,OCDE,11.77171898
Países Baixos,2022,OCDE,35.56700897
Nova Zelândia,2000,OCDE,69.57080078
Nova Zelândia,2005,OCDE,62.80603027
Nova Zelândia,2010,OCDE,71.38343811
Nova Zelândia,2015,OCDE,78.19600677
Nova Zelândia,2022,OCDE,83.23149872
Nicarágua,2000,América Latina,14.91227818
Nicarágua,2005,América Latina,24.47551727
Nicarágua,2010,América Latina,26.30137253
Nicarágua,2015,América Latina,40.08714676
Nicarágua,2022,América Latina,46.97674561
Noruega,2000,OCDE,99.52988434
Noruega,2005,OCDE,99.22768402
Noruega,2010,OCDE,95.50917053
Noruega,2015,OCDE,97.77622223
Noruega,2022,OCDE,98.4916687
Panamá,2000,América Latina,69.93865204
Panamá,2005,América Latina,63.91752625
Panamá,2010,América Latina,56.77506638
Panamá,2015,América Latina,65.04854584
Panamá,2022,América Latina,77.99401855
Paraguai,2000,América Latina,100
Paraguai,2005,América Latina,100
Paraguai,2010,América Latina,100
Paraguai,2015,América Latina,99.73161316
Paraguai,2022,América Latina,99.6818924
Peru,2000,América Latina,81.17469788
Peru,2005,América Latina,70.90195465
Peru,2010,América Latina,55.83728409
Peru,2015,América Latina,50.83903122
Peru,2022,América Latina,60.32269287
Polônia,2000,OCDE,1.473666549
Polônia,2005,OCDE,1.506850839
Polônia,2010,OCDE,2.921483517
Polônia,2015,OCDE,7.760196209
Polônia,2022,OCDE,16.80761337
Portugal,2000,OCDE,26.77621269
Portugal,2005,OCDE,14.27949715
Portugal,2010,OCDE,48.1301384
Portugal,2015,OCDE,41.572155
Portugal,2022,OCDE,50.75496292
São Cristóvão e Névis,2000,Caribe,0
São Cristóvão e Névis,2005,Caribe,0
São Cristóvão e Névis,2010,Caribe,0
São Cristóvão e Névis,2015,Caribe,4.545455933
São Cristóvão e Névis,2022,Caribe,4.545455933
