region,country,percentage
América Latina,Argentina,41.98113251
América Latina,Belize,36.320755
América Latina,Bolívia,31.60377312
América Latina,Brasil,30.6603775
América Latina,Chile,69.3396225
América Latina,Colômbia,53.77358627
América Latina,Costa Rica,55.6603775
América Latina,Equador,40.09434128
América Latina,El Salvador,38.679245
América Latina,Guatemala,16.50943375
América Latina,Guiana,43.39622498
América Latina,Honduras,19.3396225
América Latina,México,42.45283127
América Latina,Nicarágua,13.679245
América Latina,Panamá,47.64151001
América Latina,Paraguai,29.71698189
América Latina,Peru,35.37735748
América Latina,Suriname,15.09433937
América Latina,Uruguai,77.35848999
Caribe,Antígua e Barbuda,46.22641373
Caribe,Bahamas,65.09433746
Caribe,Barbados,65.56604004
Caribe,Cuba,37.26415253
Caribe,Dominica,49.05660248
Caribe,Rep. Dominicana,50
Caribe,Granada,54.71697998
Caribe,Haiti,0.9433962107
Caribe,Jamaica,71.69811249
Caribe,São Cristóvão e Névis,64.62264252
Caribe,Santa Lúcia,49.05660248
Caribe,São Vicente e Granadinas,62.73584747
Caribe,T&T,52.35848999
OCDE,Austrália,92.92453003
OCDE,Áustria,91.50943756
OCDE,Bélgica,84.90566254
OCDE,Canadá,94.3396225
OCDE,Rep. Tcheca,81.13207245
OCDE,Dinamarca,98.58490753
OCDE,Estônia,89.62264252
OCDE,Finlândia,96.69811249
OCDE,França,83.01886749
OCDE,Alemanha,88.20755005
OCDE,Grécia,66.50943756
OCDE,Hungria,68.86792755
OCDE,Islândia,93.86792755
OCDE,Irã,93.39622498
OCDE,Israel,85.37735748
OCDE,Itália,66.98113251
OCDE,Japão,96.22641754
OCDE,Coreia do Sul,90.09433746
OCDE,Letônia,75
OCDE,Lituânia,79.71697998
OCDE,Luxemburgo,97.64151001
OCDE,Países Baixos,95.28302002
OCDE,Nova Zelândia,89.15093994
OCDE,Noruega,98.11320496
OCDE,Polônia,61.79245377
OCDE,Portugal,80.18868256
OCDE,Rep. Eslovaca,63.679245
OCDE,Eslovênia,80.6603775
OCDE,Espanha,77.83018494
OCDE,Suécia,94.81131744
OCDE,Suíça,99.52830505
OCDE,Turquia,43.86792374
OCDE,Reino Unido,85.84906006
OCDE,EUA.,86.79244995
América Latina,Média América Latina,38.8778551
Caribe,Média do Caribe,51.48766287
OCDE,Média da OCDE,84.47558302
