region,country,percentage
América Latina,Argentina,34.90565872
América Latina,Belize,24.52830124
América Latina,Bolívia,9.433961868
América Latina,Brasil,43.39622498
América Latina,Chile,72.64151001
América Latina,Colômbia,38.679245
América Latina,Costa Rica,64.62264252
América Latina,Equador,26.88679314
América Latina,El Salvador,24.05660439
América Latina,Guatemala,13.20754719
América Latina,Guiana,41.03773499
América Latina,Honduras,16.98113251
América Latina,México,20.75471687
América Latina,Nicarágua,8.962264061
América Latina,Panamá,40.09434128
América Latina,Paraguai,30.18867874
América Latina,Peru,32.54716873
América Latina,Suriname,48.11320877
América Latina,Uruguai,75.94339752
Caribe,Antígua e Barbuda,61.79245377
Caribe,Bahamas,55.6603775
Caribe,Barbados,60.37735748
Caribe,Cuba,36.320755
Caribe,Dominica,75.47169495
Caribe,Rep. Dominicana,50.47169876
Caribe,Granada,67.92453003
Caribe,Haiti,7.547169685
Caribe,Jamaica,51.88679123
Caribe,São Cristóvão e Névis,66.98113251
Caribe,Santa Lúcia,71.22641754
Caribe,São Vicente e Granadinas,70.75471497
Caribe,T&T,46.69811249
OCDE,Austrália,91.03773499
OCDE,Áustria,95.75471497
OCDE,Bélgica,88.20755005
OCDE,Canadá,92.92453003
OCDE,Rep. Tcheca,83.49056244
OCDE,Dinamarca,99.52830505
OCDE,Estônia,89.62264252
OCDE,Finlândia,100
OCDE,França,85.37735748
OCDE,Alemanha,91.98113251
OCDE,Grécia,59.90565872
OCDE,Hungria,63.20754623
OCDE,Islândia,95.28302002
OCDE,Irã,91.50943756
OCDE,Israel,81.13207245
OCDE,Itália,58.49056625
OCDE,Japão,92.45282745
OCDE,Coreia do Sul,84.90566254
OCDE,Letônia,79.71697998
OCDE,Lituânia,83.01886749
OCDE,Luxemburgo,98.58490753
OCDE,Países Baixos,93.39622498
OCDE,Nova Zelândia,96.69811249
OCDE,Noruega,98.11320496
OCDE,Polônia,64.15093994
OCDE,Portugal,83.96226501
OCDE,Rep. Eslovaca,70.28302002
OCDE,Eslovênia,82.54717255
OCDE,Espanha,77.35848999
OCDE,Suécia,93.86792755
OCDE,Suíça,97.64151001
OCDE,Turquia,36.79245377
OCDE,Reino Unido,89.15093994
OCDE,EUA.,88.679245
Caribe,Média do Caribe,55.62409276
OCDE,Média da OCDE,84.66981125
América Latina,Média América Latina,35.10427013
