region,country,percentage
América Latina,Argentina,25.94339561
América Latina,Belize,35.84905624
América Latina,Bolívia,10.37735844
América Latina,Brasil,43.86792374
América Latina,Chile,81.13207245
América Latina,Colômbia,56.60377502
América Latina,Costa Rica,71.22641754
América Latina,Equador,35.37735748
América Latina,El Salvador,34.90565872
América Latina,Guatemala,41.50943375
América Latina,Guiana,32.54716873
América Latina,Honduras,33.49056625
América Latina,México,46.69811249
América Latina,Nicarágua,18.39622688
América Latina,Panamá,55.18867874
América Latina,Paraguai,45.28302002
América Latina,Peru,59.90565872
América Latina,Suriname,21.22641563
América Latina,Uruguai,74.05660248
Caribe,Antígua e Barbuda,61.320755
Caribe,Bahamas,47.16981125
Caribe,Barbados,67.92453003
Caribe,Cuba,7.075471878
Caribe,Dominica,62.73584747
Caribe,Rep. Dominicana,54.24528122
Caribe,Granada,64.15093994
Caribe,Haiti,8.490566254
Caribe,Jamaica,58.96226501
Caribe,São Cristóvão e Névis,71.69811249
Caribe,Santa Lúcia,66.03773499
Caribe,São Vicente e Granadinas,63.20754623
Caribe,T&T,50
OCDE,Austrália,99.52830505
OCDE,Áustria,87.26415253
OCDE,Bélgica,86.79244995
OCDE,Canadá,95.75471497
OCDE,Rep. Tcheca,88.679245
OCDE,Dinamarca,98.58490753
OCDE,Estônia,92.92453003
OCDE,Finlândia,97.16981506
OCDE,França,85.37735748
OCDE,Alemanha,92.45282745
OCDE,Grécia,67.45282745
OCDE,Hungria,64.62264252
OCDE,Islândia,88.20755005
OCDE,Irã,95.28302002
OCDE,Israel,86.320755
OCDE,Itália,68.86792755
OCDE,Japão,91.50943756
OCDE,Coreia do Sul,83.96226501
OCDE,Letônia,84.90566254
OCDE,Lituânia,87.73584747
OCDE,Luxemburgo,98.11320496
OCDE,Países Baixos,96.69811249
OCDE,Nova Zelândia,99.05660248
OCDE,Noruega,91.98113251
OCDE,Polônia,74.52830505
OCDE,Portugal,75
OCDE,Rep. Eslovaca,76.88679504
OCDE,Eslovênia,73.58490753
OCDE,Espanha,75.94339752
OCDE,Suécia,96.22641754
OCDE,Suíça,94.3396225
OCDE,Turquia,43.39622498
OCDE,Reino Unido,93.39622498
OCDE,EUA.,91.03773499
Caribe,Média do Caribe,52.53991244
OCDE,Média da OCDE,85.98779185
América Latina,Média América Latina,43.34657363
