country,totalTaxRevenue,goodsAndServicesTaxes,incomeAndProfitTaxes,socialSecurityContributions,otherTaxRevenue
Argentina,29.1,15.6,5.1,5.2,3.2
Brasil,33.5,15,8,8,2.5
Chile,22.2,11.8,8.5,1.2,0.7
Colômbia,19.2,8.3,6.1,1.9,2.9
Costa Rica,25,8.7,5.1,9,2.2
Equador,19.4,9.9,4.2,5,0.3
México,17.3,6.4,7.4,2.4,1.1
Peru,17.9,8.5,6.7,1.9,0.8
Uruguai,26.5,11,6.9,6.4,2.2
Antígua e Barbuda,20.1,12.3,2.1,3.3,2.4
Jamaica,27.9,16.5,7.6,1.4,2.4
T&T,22,8.1,10.9,2.9,0.1
França,45.2,12.2,12,14.8,6.2
Alemanha,39.3,10.5,12.8,14.8,1.2
Japão,34.1,7.1,10.9,13.3,2.8
Reino Unido,34.4,10.5,12.9,6.8,4.2
EUA.,26.5,4.4,13,6.1,3
Média da ALC,21.7,10.8,5.7,3.7,1.5
Média da OCDE,34.2,10.7,12,9,2.5
